epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1485.01,1.0938,1.44762,1.12775,0.853,0.73913,0.81373,0.52952,1.3413,1.91721,1.32818,0.00871,0.00871,0.00871
45,1518.59,1.08764,1.45012,1.12692,0.83919,0.75292,0.81436,0.53755,1.32136,1.88052,1.32022,0.00868,0.00868,0.00868
46,1552.15,1.09401,1.4565,1.12514,0.85456,0.76637,0.81531,0.54128,1.30853,1.88371,1.32147,0.00865,0.00865,0.00865
47,1585.68,1.07834,1.4244,1.11691,0.85408,0.76342,0.82952,0.54432,1.30645,1.82093,1.33596,0.00862,0.00862,0.00862
48,1618.84,1.08242,1.42533,1.12293,0.85069,0.75928,0.82784,0.54337,1.30133,1.85942,1.33065,0.00859,0.00859,0.00859
49,1652.35,1.07378,1.39107,1.12321,0.85852,0.75932,0.83084,0.54531,1.29641,1.86381,1.30364,0.00856,0.00856,0.00856
50,1686.09,1.06111,1.38203,1.1167,0.86099,0.77502,0.829,0.55592,1.29077,1.86582,1.33521,0.00853,0.00853,0.00853
51,1719.48,1.06357,1.38789,1.11811,0.84506,0.77625,0.82554,0.5509,1.29014,1.85004,1.30334,0.0085,0.0085,0.0085
52,1753.1,1.06866,1.37798,1.11929,0.86221,0.75716,0.82869,0.54856,1.29731,1.84175,1.31718,0.00847,0.00847,0.00847
53,1786.76,1.04229,1.36141,1.10331,0.84793,0.78048,0.83494,0.55896,1.26575,1.88859,1.30922,0.00844,0.00844,0.00844
54,1820.52,1.05327,1.36546,1.10643,0.83026,0.78326,0.82268,0.557,1.27486,1.85005,1.31619,0.00841,0.00841,0.00841
55,1854.15,1.03798,1.34438,1.10006,0.86064,0.74231,0.81753,0.54675,1.28017,1.9005,1.33903,0.00838,0.00838,0.00838
56,1887.5,1.03233,1.32692,1.10249,0.87502,0.77215,0.82263,0.5467,1.27849,1.8528,1.30873,0.00835,0.00835,0.00835
57,1921.45,1.03448,1.31544,1.105,0.85284,0.77094,0.81986,0.54834,1.27714,1.83415,1.31922,0.00832,0.00832,0.00832
58,1955.14,1.02047,1.30627,1.09021,0.8678,0.74482,0.82011,0.54826,1.26707,1.8169,1.32021,0.00829,0.00829,0.00829
59,1988.62,1.02501,1.30206,1.09685,0.86608,0.77413,0.83236,0.55937,1.26986,1.76412,1.31001,0.00826,0.00826,0.00826
60,2022.08,1.03484,1.31594,1.09499,0.85275,0.76458,0.82702,0.55566,1.26341,1.81455,1.31539,0.00823,0.00823,0.00823
61,2055.86,1.01295,1.29681,1.09348,0.87915,0.75186,0.83197,0.56145,1.26625,1.84187,1.32867,0.0082,0.0082,0.0082
62,2089.54,1.01373,1.29639,1.08805,0.8741,0.76776,0.82896,0.5627,1.26787,1.84205,1.34105,0.00817,0.00817,0.00817
63,2123.19,1.00911,1.27408,1.08989,0.8953,0.77074,0.83577,0.56225,1.24641,1.7979,1.32232,0.00814,0.00814,0.00814
64,2156.5,0.98306,1.2504,1.08251,0.85451,0.77231,0.82105,0.56376,1.25536,1.84043,1.3162,0.00811,0.00811,0.00811
65,2190.24,0.99156,1.26606,1.08382,0.8322,0.78473,0.81523,0.56011,1.24021,1.9226,1.29937,0.00808,0.00808,0.00808
66,2224.04,0.99383,1.25476,1.07979,0.85702,0.78817,0.83126,0.57824,1.2182,1.8054,1.29406,0.00805,0.00805,0.00805
67,2257.51,0.98767,1.26275,1.07381,0.84252,0.77728,0.83046,0.57317,1.21942,1.78491,1.2791,0.00802,0.00802,0.00802
68,2290.76,0.98399,1.24461,1.07603,0.87126,0.74655,0.82298,0.56975,1.24517,1.84299,1.30268,0.00799,0.00799,0.00799
69,2324.26,0.97305,1.2258,1.06507,0.86894,0.76637,0.82684,0.55859,1.22538,1.7649,1.29276,0.00796,0.00796,0.00796
70,2358.14,0.98388,1.23485,1.07665,0.87114,0.76458,0.8209,0.56195,1.23664,1.8563,1.30751,0.00793,0.00793,0.00793
71,2391.49,0.97568,1.21964,1.07242,0.87155,0.77094,0.82748,0.56765,1.22275,1.80048,1.28987,0.0079,0.0079,0.0079
72,2425.24,0.96995,1.23719,1.06738,0.8786,0.77513,0.83552,0.58079,1.20927,1.81753,1.28971,0.00787,0.00787,0.00787
73,2458.67,0.96151,1.19624,1.05984,0.87036,0.77413,0.83095,0.575,1.20772,1.81869,1.28897,0.00784,0.00784,0.00784
74,2492.06,0.97291,1.22087,1.06928,0.87047,0.75928,0.83523,0.57983,1.21251,1.789,1.2877,0.00781,0.00781,0.00781
75,2525.26,0.95588,1.19705,1.05819,0.87954,0.76657,0.83663,0.57341,1.21668,1.83297,1.28984,0.00778,0.00778,0.00778
76,2558.94,0.9578,1.19741,1.06421,0.87434,0.76352,0.82926,0.57384,1.2033,1.80643,1.29424,0.00775,0.00775,0.00775
77,2592.74,0.95595,1.2084,1.06186,0.86457,0.7785,0.83167,0.57732,1.21656,1.79153,1.29299,0.00772,0.00772,0.00772
78,2626.32,0.94341,1.196,1.06014,0.86954,0.79639,0.84487,0.58921,1.19948,1.74407,1.28618,0.00769,0.00769,0.00769
79,2659.6,0.95407,1.2032,1.05806,0.89198,0.76882,0.83688,0.58048,1.2055,1.78979,1.28417,0.00766,0.00766,0.00766
80,2692.85,0.94849,1.18814,1.0584,0.89755,0.77113,0.8454,0.59133,1.18466,1.76103,1.28869,0.00763,0.00763,0.00763
