epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
189,6336.6,0.7244,0.872,0.95781,0.88116,0.78685,0.84265,0.63578,1.06313,1.66324,1.27809,0.00436,0.00436,0.00436
190,6365.81,0.71902,0.86603,0.95837,0.87422,0.78866,0.84166,0.63738,1.06346,1.67285,1.28004,0.00433,0.00433,0.00433
191,6394.88,0.73048,0.88277,0.9706,0.9055,0.76352,0.8423,0.63541,1.06322,1.68775,1.28017,0.0043,0.0043,0.0043
192,6423.92,0.7155,0.87634,0.95655,0.90481,0.76034,0.84138,0.63534,1.06054,1.69283,1.27948,0.00427,0.00427,0.00427
193,6452.99,0.71634,0.86529,0.9618,0.9075,0.7614,0.84158,0.63541,1.05595,1.71071,1.27551,0.00424,0.00424,0.00424
194,6481.81,0.71585,0.8649,0.95172,0.90775,0.76176,0.84167,0.63427,1.05311,1.71758,1.27391,0.00421,0.00421,0.00421
195,6510.66,0.71349,0.86555,0.95185,0.91033,0.75928,0.84128,0.63323,1.04921,1.72318,1.26964,0.00418,0.00418,0.00418
196,6543.11,0.70982,0.85841,0.95498,0.91078,0.75778,0.84167,0.63534,1.04898,1.71477,1.27105,0.00415,0.00415,0.00415
197,6576.95,0.71239,0.85735,0.95663,0.88342,0.77625,0.84173,0.63638,1.04586,1.7217,1.26856,0.00412,0.00412,0.00412
198,6610.92,0.71108,0.85567,0.95706,0.8879,0.77273,0.84172,0.63714,1.04294,1.72953,1.26666,0.00409,0.00409,0.00409
199,6644.62,0.70222,0.8473,0.9481,0.88613,0.77573,0.84241,0.64061,1.04083,1.72288,1.26371,0.00406,0.00406,0.00406
200,6678.11,0.69608,0.84152,0.94932,0.88743,0.77094,0.84129,0.63966,1.04316,1.74252,1.26539,0.00403,0.00403,0.00403
201,6711.93,0.70261,0.84681,0.95059,0.88567,0.77218,0.84148,0.64064,1.04211,1.73112,1.2649,0.004,0.004,0.004
202,6745.29,0.71149,0.84733,0.95125,0.88523,0.77625,0.84367,0.64186,1.04135,1.71626,1.26514,0.00397,0.00397,0.00397
203,6778.48,0.7056,0.85121,0.95477,0.88418,0.77519,0.84286,0.64157,1.03959,1.69869,1.26423,0.00394,0.00394,0.00394
204,6811.74,0.69545,0.84868,0.95009,0.88915,0.77094,0.84172,0.64165,1.04234,1.69781,1.26746,0.00391,0.00391,0.00391
205,6845.43,0.69712,0.84499,0.95262,0.88822,0.76683,0.84134,0.64142,1.04449,1.70323,1.26857,0.00388,0.00388,0.00388
206,6879.21,0.69575,0.83789,0.94742,0.86486,0.78723,0.84275,0.64091,1.04488,1.70572,1.26966,0.00385,0.00385,0.00385
207,6912.91,0.69882,0.84099,0.94931,0.87251,0.78382,0.8436,0.64242,1.04485,1.71292,1.27278,0.00382,0.00382,0.00382
208,6946.63,0.69442,0.83745,0.94668,0.87822,0.78685,0.8428,0.64326,1.04288,1.70616,1.2736,0.00379,0.00379,0.00379
209,6980.14,0.69129,0.83546,0.94382,0.87533,0.78579,0.84225,0.64015,1.04106,1.69962,1.2746,0.00376,0.00376,0.00376
210,7013.45,0.68525,0.82483,0.94278,0.87475,0.79248,0.84412,0.6413,1.04068,1.6921,1.27406,0.00373,0.00373,0.00373
211,7046.59,0.6886,0.82675,0.94549,0.87839,0.79003,0.8437,0.64122,1.04035,1.69075,1.2745,0.0037,0.0037,0.0037
212,7080.15,0.69896,0.84124,0.95313,0.87964,0.79052,0.84376,0.64081,1.04141,1.68171,1.27486,0.00367,0.00367,0.00367
213,7113.77,0.69165,0.83664,0.94866,0.87714,0.78737,0.84472,0.6418,1.04103,1.68188,1.27401,0.00364,0.00364,0.00364
214,7147.23,0.67741,0.82895,0.94403,0.87631,0.78685,0.84497,0.6402,1.03877,1.67718,1.27299,0.00361,0.00361,0.00361
215,7180.87,0.68226,0.82593,0.94703,0.88215,0.78584,0.84329,0.64014,1.03641,1.67272,1.27087,0.00358,0.00358,0.00358
216,7214.43,0.68846,0.82815,0.94143,0.88203,0.78497,0.8429,0.63982,1.03437,1.67805,1.26941,0.00355,0.00355,0.00355
217,7247.81,0.67778,0.81451,0.93908,0.8794,0.79003,0.84263,0.64117,1.03421,1.67445,1.26912,0.00352,0.00352,0.00352
218,7281.36,0.67621,0.81123,0.94146,0.8782,0.79003,0.8433,0.64133,1.03441,1.67863,1.27027,0.00349,0.00349,0.00349
219,7314.59,0.6761,0.81968,0.93704,0.87577,0.79003,0.84234,0.64013,1.03315,1.68058,1.26893,0.00346,0.00346,0.00346
220,7348.51,0.66686,0.80522,0.94079,0.87487,0.79109,0.8435,0.63978,1.03459,1.68404,1.27216,0.00343,0.00343,0.00343
221,7382.24,0.67257,0.81551,0.9385,0.87332,0.79109,0.84295,0.64129,1.03404,1.68485,1.27238,0.0034,0.0034,0.0034
222,7415.82,0.67233,0.80762,0.93886,0.87575,0.78897,0.84274,0.64157,1.03394,1.68448,1.2724,0.00337,0.00337,0.00337
223,7449.64,0.67094,0.80236,0.93841,0.87335,0.79003,0.8428,0.64298,1.03365,1.6833,1.27254,0.00334,0.00334,0.00334
224,7483.44,0.66272,0.79934,0.93763,0.87528,0.78791,0.84187,0.64302,1.03426,1.67658,1.27502,0.00331,0.00331,0.00331
225,7517.08,0.6722,0.80005,0.9399,0.87542,0.7899,0.84238,0.64341,1.03519,1.67774,1.27615,0.00328,0.00328,0.00328
226,7550.51,0.66455,0.80671,0.93895,0.87708,0.79003,0.84172,0.64297,1.03464,1.67458,1.27665,0.00325,0.00325,0.00325
227,7584.17,0.66599,0.80449,0.94086,0.87842,0.78916,0.84058,0.64342,1.03402,1.67537,1.27789,0.00322,0.00322,0.00322
228,7618.06,0.66435,0.80038,0.93865,0.87853,0.79003,0.84007,0.64168,1.03436,1.68005,1.27836,0.00319,0.00319,0.00319
229,7651.99,0.66416,0.7963,0.94074,0.87967,0.78897,0.84022,0.64101,1.03247,1.67333,1.27765,0.00316,0.00316,0.00316
230,7681.42,0.65379,0.79639,0.93553,0.88037,0.79003,0.83996,0.64096,1.03219,1.67252,1.27814,0.00313,0.00313,0.00313
231,7710.55,0.66071,0.80626,0.93652,0.88072,0.79109,0.839,0.6425,1.03132,1.67189,1.27827,0.0031,0.0031,0.0031
232,7739.32,0.65311,0.79699,0.93729,0.87863,0.79072,0.83959,0.64286,1.03229,1.68249,1.27922,0.00307,0.00307,0.00307
233,7768.2,0.65783,0.79352,0.93492,0.87677,0.79109,0.83977,0.64391,1.03225,1.68877,1.28049,0.00304,0.00304,0.00304
234,7797.2,0.65192,0.78866,0.93505,0.87676,0.79215,0.83844,0.64525,1.03261,1.68934,1.28204,0.00301,0.00301,0.00301
235,7826.18,0.65879,0.79123,0.93325,0.87412,0.78897,0.83827,0.64533,1.0336,1.69359,1.28425,0.00298,0.00298,0.00298
236,7855.11,0.64543,0.7764,0.9309,0.87643,0.78971,0.83954,0.64668,1.03367,1.69737,1.28478,0.00295,0.00295,0.00295
237,7883.93,0.64846,0.79249,0.93538,0.87912,0.78791,0.83932,0.64626,1.03287,1.69516,1.28465,0.00292,0.00292,0.00292
238,7914.67,0.65892,0.79739,0.93848,0.88095,0.78468,0.84007,0.64672,1.03271,1.69378,1.28494,0.00289,0.00289,0.00289
239,7948.31,0.65853,0.78897,0.93586,0.87981,0.78406,0.84018,0.64705,1.03093,1.68916,1.28359,0.00286,0.00286,0.00286
240,7981.6,0.64107,0.7775,0.92994,0.87959,0.78367,0.8402,0.64731,1.03034,1.69324,1.2827,0.00283,0.00283,0.00283
241,8015.19,0.63732,0.76487,0.93086,0.87888,0.78489,0.84082,0.64809,1.03061,1.69232,1.28329,0.0028,0.0028,0.0028
242,8048.97,0.64653,0.78034,0.93492,0.88084,0.78685,0.84098,0.64792,1.03187,1.69684,1.28447,0.00277,0.00277,0.00277
243,8082.7,0.63922,0.7761,0.92957,0.88107,0.78685,0.84183,0.64746,1.03216,1.70013,1.28527,0.00274,0.00274,0.00274
244,8116.2,0.64863,0.78019,0.93272,0.87804,0.78897,0.84288,0.64787,1.03196,1.69917,1.28454,0.00271,0.00271,0.00271
245,8149.59,0.64544,0.79057,0.93155,0.87636,0.78924,0.84242,0.64844,1.03127,1.70363,1.28358,0.00268,0.00268,0.00268
246,8183.38,0.63823,0.76612,0.92921,0.87769,0.78897,0.84246,0.64819,1.02997,1.70076,1.28195,0.00265,0.00265,0.00265
247,8217.11,0.63851,0.7685,0.9287,0.87789,0.79003,0.84185,0.64677,1.02876,1.70206,1.2817,0.00262,0.00262,0.00262
248,8250.69,0.64391,0.77478,0.92615,0.87927,0.78778,0.84172,0.64546,1.02877,1.70043,1.28174,0.00259,0.00259,0.00259
249,8284.43,0.63842,0.7655,0.92979,0.87745,0.78685,0.84169,0.64715,1.02931,1.70086,1.28158,0.00256,0.00256,0.00256
250,8318.48,0.63319,0.76064,0.92709,0.87698,0.78619,0.8421,0.64867,1.02827,1.70342,1.28041,0.00253,0.00253,0.00253
251,8352.19,0.63128,0.75978,0.9258,0.87667,0.78579,0.84148,0.64822,1.02763,1.69938,1.27981,0.0025,0.0025,0.0025
252,8385.32,0.62376,0.76414,0.92514,0.87909,0.78644,0.84169,0.64759,1.02622,1.69637,1.27855,0.00247,0.00247,0.00247
253,8418.7,0.63089,0.75198,0.92936,0.87767,0.78791,0.84258,0.64747,1.02444,1.69393,1.27711,0.00244,0.00244,0.00244
254,8452.3,0.63079,0.75911,0.92732,0.87868,0.78897,0.84301,0.64847,1.02331,1.69387,1.27723,0.00241,0.00241,0.00241
255,8485.71,0.62673,0.7495,0.92503,0.87835,0.79003,0.84408,0.64946,1.02361,1.69351,1.27754,0.00238,0.00238,0.00238
256,8518.98,0.62872,0.75886,0.92522,0.88002,0.78561,0.84279,0.6498,1.02409,1.69069,1.27834,0.00235,0.00235,0.00235
257,8553,0.62348,0.75455,0.92619,0.86683,0.79533,0.84285,0.64936,1.02327,1.68896,1.27768,0.00232,0.00232,0.00232
258,8586.49,0.61822,0.74231,0.92415,0.86934,0.79427,0.84271,0.6505,1.02276,1.68879,1.27756,0.00229,0.00229,0.00229
259,8620.11,0.62306,0.75424,0.92621,0.87075,0.79297,0.84245,0.64988,1.0228,1.69054,1.27823,0.00226,0.00226,0.00226
260,8653.41,0.61974,0.74745,0.92294,0.87055,0.79163,0.84216,0.64963,1.02271,1.69276,1.27845,0.00223,0.00223,0.00223
261,8687.26,0.61887,0.74615,0.92151,0.87145,0.79003,0.8423,0.65016,1.02269,1.69018,1.27898,0.0022,0.0022,0.0022
262,8720.67,0.60805,0.74042,0.92241,0.87281,0.79003,0.84253,0.64984,1.02162,1.69073,1.27865,0.00217,0.00217,0.00217
263,8754.15,0.61344,0.74188,0.91881,0.88051,0.78155,0.84278,0.65076,1.02204,1.69229,1.27923,0.00214,0.00214,0.00214
264,8787.53,0.61783,0.74625,0.92234,0.87975,0.78155,0.8429,0.65161,1.02135,1.6889,1.27867,0.00211,0.00211,0.00211
265,8821.18,0.62075,0.74897,0.92255,0.87472,0.78897,0.84245,0.65114,1.02164,1.69127,1.28064,0.00208,0.00208,0.00208
266,8854.85,0.61346,0.73045,0.92196,0.8669,0.79321,0.84215,0.65188,1.02074,1.68921,1.28047,0.00205,0.00205,0.00205
267,8888.61,0.61461,0.73607,0.91959,0.86741,0.79427,0.8423,0.65228,1.01991,1.69009,1.28046,0.00202,0.00202,0.00202
268,8922.03,0.60873,0.72879,0.92183,0.86797,0.79427,0.84253,0.6526,1.02023,1.69438,1.28135,0.00199,0.00199,0.00199
269,8955.73,0.60819,0.72828,0.91694,0.86877,0.79215,0.8427,0.65337,1.02008,1.69569,1.28195,0.00196,0.00196,0.00196
270,8989.29,0.6054,0.72505,0.91387,0.87913,0.78669,0.84266,0.65276,1.02044,1.69759,1.28266,0.00193,0.00193,0.00193
271,9022.71,0.60228,0.72774,0.91671,0.87262,0.79185,0.84262,0.65357,1.02124,1.701,1.28359,0.0019,0.0019,0.0019
272,9055.99,0.59671,0.71808,0.91692,0.87382,0.79003,0.84233,0.65378,1.02028,1.69703,1.28276,0.00187,0.00187,0.00187
273,9089.64,0.60114,0.72581,0.91844,0.87247,0.79076,0.84229,0.65379,1.019,1.69434,1.28229,0.00184,0.00184,0.00184
274,9123.56,0.60027,0.72237,0.91548,0.87251,0.78897,0.84231,0.65366,1.01878,1.69531,1.28256,0.00181,0.00181,0.00181
275,9156.83,0.60377,0.72557,0.91844,0.87386,0.78897,0.84262,0.65477,1.01861,1.69411,1.28242,0.00178,0.00178,0.00178
276,9190.33,0.59893,0.72965,0.91733,0.87527,0.78882,0.84198,0.65361,1.01818,1.69766,1.28238,0.00175,0.00175,0.00175
277,9224.2,0.59716,0.72029,0.91311,0.87611,0.78791,0.84193,0.65438,1.01757,1.69672,1.2816,0.00172,0.00172,0.00172
278,9257.9,0.58852,0.70637,0.91076,0.87698,0.78791,0.84143,0.65458,1.01749,1.69767,1.28203,0.00169,0.00169,0.00169
279,9291.16,0.59732,0.72057,0.9142,0.87767,0.78685,0.84186,0.6539,1.01758,1.69933,1.28242,0.00166,0.00166,0.00166
280,9324.25,0.59195,0.70968,0.91193,0.87732,0.78685,0.84208,0.65386,1.01665,1.69915,1.28147,0.00163,0.00163,0.00163
281,9358.23,0.59359,0.71251,0.91453,0.87625,0.78842,0.84144,0.65326,1.01625,1.69857,1.28155,0.0016,0.0016,0.0016
282,9391.74,0.59255,0.70689,0.91207,0.87629,0.78873,0.84138,0.6541,1.01592,1.6986,1.28142,0.00157,0.00157,0.00157
283,9425.34,0.58141,0.70206,0.91163,0.87629,0.7887,0.84138,0.65325,1.01515,1.69865,1.28087,0.00154,0.00154,0.00154
284,9459.01,0.59002,0.7138,0.91484,0.87626,0.78848,0.84171,0.6532,1.01404,1.69688,1.28088,0.00151,0.00151,0.00151
285,9488.72,0.58827,0.70289,0.91284,0.87646,0.78791,0.84161,0.65423,1.01415,1.69912,1.28094,0.00148,0.00148,0.00148
286,9517.65,0.58982,0.70418,0.90912,0.87518,0.78813,0.84189,0.65421,1.01458,1.70277,1.28255,0.00145,0.00145,0.00145
287,9546.56,0.58699,0.7054,0.91509,0.87571,0.78791,0.84204,0.65399,1.01357,1.70403,1.28185,0.00142,0.00142,0.00142
288,9575.54,0.58806,0.71174,0.91732,0.86863,0.79321,0.84188,0.65462,1.01409,1.70597,1.28266,0.00139,0.00139,0.00139
289,9604.68,0.57754,0.69719,0.90836,0.86884,0.79376,0.84163,0.65439,1.0136,1.70484,1.28243,0.00136,0.00136,0.00136
290,9633.66,0.59116,0.70846,0.91924,0.8689,0.79419,0.84201,0.65433,1.01327,1.70711,1.28317,0.00133,0.00133,0.00133
291,9672.14,0.51906,0.57851,0.86255,0.86889,0.79533,0.84138,0.6539,1.01294,1.7126,1.28337,0.0013,0.0013,0.0013
292,9700.85,0.4871,0.54849,0.85475,0.869,0.79489,0.84204,0.65392,1.01277,1.71346,1.28417,0.00127,0.00127,0.00127
293,9729.49,0.484,0.54747,0.85113,0.86912,0.79572,0.84236,0.65395,1.01206,1.70889,1.28397,0.00124,0.00124,0.00124
294,9758.36,0.47844,0.54483,0.85113,0.86801,0.79501,0.84247,0.65362,1.0118,1.71326,1.28467,0.00121,0.00121,0.00121
295,9787.19,0.46585,0.53366,0.84404,0.86811,0.79574,0.84193,0.6536,1.01098,1.70991,1.28467,0.00118,0.00118,0.00118
296,9816.04,0.46501,0.53102,0.84579,0.86822,0.79645,0.84169,0.6537,1.01103,1.70631,1.2853,0.00115,0.00115,0.00115
297,9845.15,0.46166,0.52327,0.84297,0.86912,0.79573,0.84208,0.65339,1.01029,1.71015,1.28543,0.00112,0.00112,0.00112
298,9874.01,0.46521,0.5279,0.84531,0.86816,0.79639,0.84145,0.65352,1.0101,1.71294,1.28528,0.00109,0.00109,0.00109
299,9903.54,0.45875,0.52272,0.84009,0.86891,0.79639,0.84122,0.65316,1.00978,1.7097,1.28516,0.00106,0.00106,0.00106
300,9934.74,0.45439,0.5213,0.84114,0.86972,0.79745,0.84238,0.65418,1.00944,1.71126,1.28594,0.00103,0.00103,0.00103
